column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,missing_value_code,source_files,berdl_export_status,mapping_notes,proposed_bervo_term,sample_values,suggested_berdl_table,modeling_recommendation
file_name,unnecessary?,,,Name of the files in the dataset/data package.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,flmd.csv | dd.csv | lai_au_metadata_cleaned.csv | lai_tree_metadata_cleaned.csv,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
file_description,unnecessary?,,,A brief description of the files in the dataset/data package.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,File level metadata associated with dataset describing files contained within dataset. | Data dictionary defining column headers and other terms contained within data files across the dataset. | Field-collected metadata for leaf area index (LAI) measurements at meadow sites collected as part of the 2025 Colorad... | Field-collected metadata for leaf area index (LAI) measurements at forest sites collected as part of the 2025 Colorad...,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
standard,unnecessary?,,,Standard applied to the data file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,ESS-DIVE FLMD v1 | ESS-DIVE CSV v1,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
file_version,unnecessary?,,,Version of the file described within file level metadata file. ,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
data_orientation,unnecessary?,,,Description of how the data are organized within the data file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,horizontal,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
header_rows,unnecessary?,,,Total number of header rows before the start of the first data row.,numeric,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,1 | -9999,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
column_or_row_name_position,unnecessary?,,,Row or column number that contains the header names.,numeric,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,1 | -9999,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
column_or_row_name,unnecessary?,,,Column or row name contained within a file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,file_name | file_description | standard | file_version,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
unit,unnecessary?,,,Unit of column or row name within file.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,YYYY-MM-DD | degrees | decimal degrees,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
definition,unnecessary?,,,Definition of column or row name.,text,,,data_dictionary_metadata,File/data-dictionary metadata; not exported as LAI data variables.,,Name of the files in the dataset/data package. | A brief description of the files in the dataset/data package. | Standard applied to the data file. | Version of the file described within file level metadata file.,not_exported,"not_exported: ESS-DIVE data-dictionary/file-level metadata, not an LAI observation variable."
